N;CODIGO_PAIS;CODIGO_ENTIDAD;PROGRAMA;CODIGO_SNIP;CODIGO_UNIFICADO;NOMBRE;UNIDAD_EJECUTORA;DEPARTAMENTO;PROVINCIA;DISTRITO;POBLACION_BENEFICIADA_SSP;MONTO_ACTUALIZADO_PIP;MODALIDAD_FINANCIAMIENTO;TIPO_EJECUCION;ETAPA_INVERSION;ESTADO
N1;PE;11476;PNSU;54048;2047093;AMPLIACION DE RED DE AGUA Y ALCANTARILLADO EN LA LOCALIDAD DE LA CRUZ Y ANEXOS DISTRITO DE LA CRUZ, PROVINCIA DE TUMBES - TUMBES (SALDO DE OBRA);MUNICIPALIDAD PROVINCIAL DE TUMBES;TUMBES;TUMBES;LA CRUZ;271;14684732;Transferencia;Indirecta;OBRA (Expediente Saldo);En elaboración
N2;PE;11476;PNSU;125106;2103979;MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y ALCANTARILLADO EN LA LOCALIDAD DE KELLUYO, DISTRITO DE KELLUYO - CHUCUITO - PUNO;MUNICIPALIDAD DISTRITAL DE KELLUYO;PUNO;CHUCUITO;KELLUYO;3100;3655279.84;Transferencia;Indirecta;OBRA;Concluido
N3;PE;11476;PNSU;82929;2088916;INSTALACION DE MICROMEDIDORES EN PRIMER PISO DE LA LOCALIDAD DE BELLAVISTA - PROVINCIA DE BELLAVISTA - DEPARTAMENTO DE SAN MARTIN;EMPRESA MUNICIPAL DE SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE SAN MARTIN S.A.;SAN MARTIN;BELLAVISTA;BELLAVISTA;5387;299712;Transferencia;Directa;OBRA;Concluido
N4;PE;11476;PNSU;84795;2074310;MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE POROTO, DISTRITO DE POROTO - TRUJILLO - LA LIBERTAD;MUNICIPALIDAD DISTRITAL DE POROTO;LA LIBERTAD;TRUJILLO;POROTO;1122;2310000;Transferencia;Indirecta;OBRA;Concluido
N5;PE;11476;PNSU;37678;2085810;AMPLIACION Y MEJORAMIENTO DE LOS SISTEMAS DE AGUA Y DESAGUE DE LOS BARRIOS ASUNCION Y SAN PEDRO DE CHANGO-CHACAYAN;GOBIERNO REGIONAL PASCO;PASCO;DANIEL ALCIDES CARRION;CHACAYAN;1639;828897;Transferencia;Indirecta;OBRA;Concluido
N6;PE;11476;PNSU;146223;2128517;MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DEL CENTRO POBLADO DE CHAUCHA, DISTRITO DE AMBO, PROVINCIA DE AMBO - HUANUCO;MUNICIPALIDAD DISTRITAL DE AMBO;HUANUCO;AMBO;AMBO;780;2370759.81;Transferencia;Indirecta;OBRA;Concluido
N7;PE;11476;PNSU;40119;2053769;MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE EN EL CENTRO POBLADO DE SAMANCO, PROVINCIA DE SANTA - ANCASH;MUNICIPALIDAD DISTRITAL DE SAMANCO;ANCASH;SANTA;SAMANCO;4791;1522906;Transferencia;Indirecta;OBRA;Concluido
N8;PE;11476;PNSU;56465;2052248;INSTALACION DEL SISTEMA DE DESAGUE EN TABLAZOS ., DISTRITO DE CHONGOYAPE - CHICLAYO - LAMBAYEQUE;MUNICIPALIDAD DISTRITAL DE CHONGOYAPE;LAMBAYEQUE;CHICLAYO;CHONGOYAPE;530;225978;Transferencia;Directa;OBRA;Concluido
N9;PE;11476;PNSU;107036;2101654;INSTALACION DE OBRAS COMPLEMENTARIAS PARA EL SANEAMIENTO BASICO EN LA ASOCIACION ADEICOSUR DEL PIVES, DISTRITO DE VILLA EL SALVADOR - LIMA - LIMA;MUNICIPALIDAD DISTRITAL DE VILLA EL SALVADOR;LIMA;LIMA;VILLA EL SALVADOR;270;328601;Transferencia;;OBRA;Actos Previos
N10;PE;11476;PNSU;44751;2047469;AMPLIACION, MEJORAMIENTO DE LOS SERVICIOS DE AGUA POTABLE Y SANEAMIENTO DE KIMBIRI, DISTRITO DE KIMBIRI - LA CONVENCION - CUSCO;MUNICIPALIDAD DISTRITAL DE KIMBIRI;CUSCO;LA CONVENCION;KIMBIRI;6770;14838226;Transferencia;Indirecta;OBRA;Concluido
N11;PE;11476;PNSU;49017;2054948;REHABILITACION Y MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y LETRINAS PARA LA LOCALIDAD DE HIGUERON EN EL DISTRITO DE SAN JACINTO, PROVINCIA DE TUMBES - TUMBES;MUNICIPALIDAD DISTRITAL DE SAN JACINTO;TUMBES;TUMBES;SAN JACINTO;527;483268;Transferencia;Indirecta;OBRA;Concluido
N12;PE;11476;PNSU;57175;2065528;INSTALACION DEL SISTEMA DE ALCANTARILLADO SEGUNDA ETAPA DEL DISTRITO DE SARA SARA, PROVINCIA DE PAUCAR DEL SARA SARA - AYACUCHO;MUNICIPALIDAD DISTRITAL DE SARA SARA;AYACUCHO;PAUCAR DEL SARA SARA;SARA SARA;1200;1144556;Transferencia;Directa;OBRA;Concluido
N13;PE;11476;PNSU;14766;2021766;INSTALACION AGUA POTABLE Y DESAGUE MONTERRICO ANGOTEROS;INSTITUTO NACIONAL DE DESARROLLO;LORETO;MAYNAS;TORRES CAUSANA;846;1158341;Transferencia;Indirecta;OBRA;Concluido
N14;PE;11476;PNSU;323194;2278597;INSTALACION DE LOS SERVICIOS DE AGUA POTABLE Y ALCANTARILLADO EN EL ASENTAMIENTO HUMANO OLLANTA HUMALA TASSO DEL DISTRITO, PROVINCIA Y DEPARTAMENTO DE PIURA;Entidad Prestadora de Servicio de Saneamiento Grau S.A.;PIURA;PIURA;PIURA;2038;14022602.74;Transferencia;Indirecta;OBRA;Concluido
N15;PE;11476;PNSU;70976;2069204;REHABILITACION Y AMPLIACIÓN DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE CONCHAMARCA Y ANEXOS CONCHAMARCA, DISTRITO DE CONCHAMARCA - AMBO - HUANUCO;MUNICIPALIDAD DISTRITAL DE CONCHAMARCA;HUANUCO;AMBO;CONCHAMARCA;1647;3100000;Transferencia;Indirecta;OBRA;Concluido
N16;PE;11476;PNSU;241261;2219920;INSTALACION DE LA CAPTACIÓN Y CONDUCCION DE AGUA POTABLE PARA LA CIUDAD DE CELENDÍN, SUCRE, JOSÉ GÁLVEZ Y JORGE CHÁVEZ, PROVINCIA DE CELENDIN - CAJAMARCA;MUNICIPALIDAD PROVINCIAL DE CELENDIN;CAJAMARCA;CELENDIN;SUCRE,CELENDIN;21053;19667830.22;Transferencia;Indirecta;OBRA;Concluido
N17;PE;11476;PNSU;109077;2094074;MEJORAMIENTO, AMPLIACION DEL SISTEMA DE AGUA POTABLE Y SANEAMIENTO, CC.PP. HERMOSA PAMPA - LLAYLLA, PROVINCIA DE SATIPO - JUNIN;MUNICIPALIDAD PROVINCIAL DE SATIPO;JUNIN;SATIPO;LLAYLLA;984;552598.3;Transferencia;Indirecta;OBRA;Concluido
N18;PE;11476;PNSU;59219;2045228;MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO POR EL SISTEMA CONDOMINIAL EN LA LOCALIDAD DEL CANARIO I Y II, DISTRITO DE AGUAS VERDES - ZARUMILLA - TUMBES;MUNICIPALIDAD DISTRITAL DE AGUAS VERDES;TUMBES;ZARUMILLA;AGUAS VERDES;7446;1443833;Transferencia;Indirecta;OBRA;Concluido
N19;PE;11476;PNSU;315334;2260033;MEJORAMIENTO DE LA LINEA DE IMPULSION DE AGUA POTABLE DESDE EL MALECON ACHIRANA HASTA LOS RESERVORIOS DEL, DISTRITO DE PARCONA - ICA - ICA;MUNICIPALIDAD DISTRITAL DE PARCONA;ICA;ICA;PARCONA;38370;932588.47;Transferencia;Indirecta;OBRA;Concluido
N20;PE;11476;PNSU;72248;2069637;REHABILITACION Y MEJORAMIENTO DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO LOCALIDAD ROSASPATA, DISTRITO DE ROSASPATA - HUANCANE - PUNO;MUNICIPALIDAD DISTRITAL DE ROSASPATA;PUNO;HUANCANE;ROSASPATA;1850;2308800.88;Transferencia;Directa;OBRA;Concluido
N21;PE;11476;PNSU;220227;2208510;INSTALACION DE UN SISTEMA DE TRATAMIENTO DE AGUAS RESIDUALES EN LA CIUDAD DE CONTUMAZA, PROVINCIA DE CONTUMAZA - CAJAMARCA;MUNICIPALIDAD PROVINCIAL DE CONTUMAZA;CAJAMARCA;CONTUMAZA;CONTUMAZA;4899;2733656.14;Transferencia;Indirecta;OBRA;Concluido
N22;PE;11476;PNSU;114087;2106781;MEJORAMIENTO INTEGRAL DE LAS REDES DE AGUA POTABLE Y ALCANTARILLADO DEL PUEBLO JOVEN ARTESANOS INDEPENDIENTES - DISTRITO JOSE LEONARDO ORTIZ - PROVINCIA DE CHICLAYO - REGION LAMBAYEQUE;MUNICIPALIDAD DISTRTAL DE JOSE LEONARDO ORTIZ;LAMBAYEQUE;CHICLAYO;JOSE LEONARDO ORTIZ;1315;1141294.59;Transferencia;Indirecta;OBRA;Concluido
N23;PE;11476;PNSU;184418;2150528;MEJORAMIENTO Y REHABILITACION DEL SISTEMA DE AGUA POTABLE DEL DISTRITO DE OYOLO, PROVINCIA DE PAUCAR DEL SARA SARA - AYACUCHO;MUNICIPALIDAD DISTRITAL DE OYOLO;AYACUCHO;PAUCAR DEL SARA SARA;OYOLO;605;285661.66;Transferencia;Indirecta;EXPEDIENTE TECNICO;Concluido
N24;PE;11476;PNSU;81851;2088913;MEJORAMIENTO DE LAS REDES Y CONEXIONES DOMICILIARIAS DE AGUA POTABLE Y AMPLIACION DE LAS REDES Y CONEXIONES DOMICILIARIAS DE ALCANTARILLADO DE JR. TACNA C-5 - TARAPOTO;EMPRESA MUNICIPAL DE SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE SAN MARTIN S.A.;SAN MARTIN;SAN MARTIN;TARAPOTO;88;48321;Transferencia;Directa;OBRA;Concluido
N25;PE;11476;PNSU;336763;2310090;MEJORAMIENTO Y AMPLIACIÓN DE LOS SERVICIOS DEL SISTEMA DE AGUA POTABLE EN LA LOCALIDAD DEL CERCADO DE HUANCARAMA, DISTRITO DE HUANCARAMA - ANDAHUAYLAS - APURIMAC;MUNICIPALIDAD DISTRITAL DE HUANCARAMA;APURIMAC;ANDAHUAYLAS;HUANCARAMA;810;3124241;Transferencia;Indirecta;OBRA;Concluido
N26;PE;11476;PNSU;53692;2065246;MEJORAMIENTO, CONSTRUCCION DEL SISTEMA CONDOMINIAL DE AGUA POTABLE Y DE ALCANTARILLADO DE LOS C.P.M. VILLA EL MILAGRO Y CASCAJALES CIUDAD ETEN, DISTRITO DE ETEN - CHICLAYO - LAMBAYEQUE;MUNICIPALIDAD DISTRITAL DE ETEN;LAMBAYEQUE;CHICLAYO;ETEN;3636;1726568;Transferencia;Indirecta;OBRA;Concluido
N27;PE;11476;PNSU;15020;2030730;MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LA LOCALIDAD DE QUICHUAY-HUANCAYO;GOBIERNO REGIONAL JUNIN;JUNIN;HUANCAYO;QUICHUAY;1940;1142081;Transferencia;Indirecta;OBRA;Concluido
N28;PE;11476;PNSU;263732;2404453;ESQUEMA VÍCTOR RAÚL HAYA DE LA TORRE - AMPLIACIÓN DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO DE LOS SECTORES 253-254-255-258 Y 259 DISTRITOS: CALLAO, VENTANILLA Y SAN MARTÍN DE PORRES;SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA S.A. - SEDAPAL S.A.;CALLAO,LIMA;CALLAO,LIMA;VENTANILLA,CALLAO,SAN MARTIN DE PORRES;84747;89650807.77;Transferencia;Indirecta;EXPEDIENTE TECNICO;Concluido
N29;PE;11476;PNSU;47536;2167519;AMPLIACION Y MEJORAMIENTO DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO DEL ESQUEMA LAS LOMAS DE CARABAYLLO Y ANEXOS DEL DISTRITO DE CARABAYLLO;SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA S.A. - SEDAPAL S.A.;LIMA;LIMA;CARABAYLLO;87858;140401470.3;Transferencia;Indirecta;OBRA;Concluido
N30;PE;11476;PNSU;34905;2030716;AMPLIACION DE LA LINEA DE CONDUCCION PARA LA PLANTA DE TRATAMIENTO DE AGUA POTABLE EL MILAGRO - CAJAMARCA;EMPRESA PRESTADORA DE SERVICIOS DE SANEAMIENTO DE CAJAMARCA S.A.;CAJAMARCA;CAJAMARCA;CAJAMARCA;80931;1036404;Transferencia;Directa;OBRA;Concluido
N31;PE;11476;PNSU;53763;2050275;CONSTRUCCION DEL SISTEMA DE AGUA POTABLE EL TABLAZO ALTO, DISTRITO CORRALES, PROVINCIA DE TUMBES - TUMBES;MUNICIPALIDAD DISTRITAL DE CORRALES;TUMBES;TUMBES;CORRALES;616;231747;Transferencia;Indirecta;OBRA;Concluido
N32;PE;11476;PNSU;308717;2202592;AMPLIACION DEL SERVICIO DE AGUA POTABLE Y ALCANTARILLADO EN EL SECTOR MEDIA LUNA, DISTRITO DE GROCIO PRADO - CHINCHA - ICA;MUNICIPALIDAD DISTRITAL DE GROCIO PRADO;ICA;CHINCHA;GROCIO PRADO;750;2646967.05;Transferencia;Indirecta;OBRA;Concluido
N33;PE;11476;PNSU;11334;2030727;MEJORAMIENTO Y AMPLIACION AGUA POTABLE E INSTALACION DEL SISTEMA DE ALCANTARILLADO DEL CERCADO DEL DISTRITO DE PACCHA - JAUJA;GOBIERNO REGIONAL JUNIN;JUNIN;JAUJA;PACCHA;2070;756973;Transferencia;Indirecta;OBRA;Concluido
N34;PE;11476;PNSU;23758;2034050;CONSTRUCCION DE SISTEMA DE AGUA POTABLE EN LOS CASERIOS DE PASAJE NORTE, ANCOL, FICUAR Y EL MILAGRO-OLMOS.;MUNICIPALIDAD DISTRITAL DE OLMOS;LAMBAYEQUE;LAMBAYEQUE;OLMOS;2560;236500;Transferencia;Indirecta;OBRA;Concluido
N35;PE;11476;PNSU;50222;2045392;AMPLIACION DEL SERVICIO DE AGUA POTABLE EN EL AA.HH. VICTOR RAUL HAYA DE LA TORRE TINGO MARIA, PROVINCIA DE LEONCIO PRADO - HUANUCO;MUNICIPALIDAD PROVINCIAL DE LEONCIO PRADO;HUANUCO;LEONCIO PRADO;RUPA-RUPA;1000;121382;Transferencia;Directa;OBRA;Concluido
N36;PE;11476;PNSU;2436695;2436695;MEJORAMIENTO DEL SISTEMA DE DRENAJE PLUVIAL, EN LA LOCALIDAD CACATACHI, DEL DISTRITO DE CACATACHI - PROVINCIA DE SAN MARTIN - DEPARTAMENTO DE SAN MARTIN;MUNICIPALIDAD DISTRITAL DE CACATACHI;SAN MARTIN;SAN MARTIN;CACATACHI;4762;15918367.8;Transferencia;Indirecta;OBRA;En Ejecución
N37;PE;11476;PNSU;256846;2234202;INSTALACION DEL SISTEMA DE DRENAJE PLUVIAL EN EL AREA URBANA, DISTRITO DE MOCHUMI - LAMBAYEQUE - LAMBAYEQUE;MUNICIPALIDAD DISTRITAL DE MOCHUMI;LAMBAYEQUE;LAMBAYEQUE;MOCHUMI;7428;4649781.19;Transferencia;Indirecta;OBRA;Concluido
N38;PE;11476;PNSU;243354;2223181;MEJORAMIENTO DE LOS SERVICIOS DE AGUA POTABLE Y ALCANTARILLADO EN LA LOCALIDAD DE YANQUE, DISTRITO DE YANQUE, PROVINCIA DE CAYLLOMA - AREQUIPA;MUNICIPALIDAD DISTRITAL DE YANQUE;AREQUIPA;CAYLLOMA;YANQUE;2485;3438309.47;Transferencia;Indirecta;OBRA;Concluido
N39;PE;11476;PNSU;116943;2099682;CONSTRUCCION DEL SISTEMA DE ALCANTARILLA DEL CAÑO LA FLORIDA - DISTRITO DE YURIMAGUAS, PROVINCIA DE ALTO AMAZONAS - LORETO;MUNICIPALIDAD PROVINCIAL DE ALTO AMAZONAS;LORETO;ALTO AMAZONAS;YURIMAGUAS;3350;5129907;Transferencia;Indirecta;OBRA;Concluido
N40;PE;11476;PNSU;234374;2236191;CREACIÓN DEL SERVICIO DE AGUA POTABLE Y AMPLIACIÓN DEL SERVICIO DE ALCANTARILLADO SANITARIO DEL BARRIO URUBAMBA SECTOR 20, PROVINCIA DE CAJAMARCA;MUNICIPALIDAD PROVINCIAL DE CAJAMARCA;CAJAMARCA;CAJAMARCA;CAJAMARCA;2040;8157902.33;Transferencia;Indirecta;OBRA (SALDO);En Ejecución
N41;PE;11476;PNSU;220671;2216535;REHABILITACION DE LAS REDES DE AGUA POTABLE Y ALCANTARILLADO EN EL A.H. 18 DE MAYO DEL DISTRITO DE PIURA, PROVINCIA DE PIURA - PIURA;MUNICIPALIDAD PROVINCIAL DE PIURA;PIURA;PIURA;PIURA;3697;7535239.42;Transferencia;Indirecta;OBRA;Concluido
N42;PE;11476;PNSU;82219;2073301;INSTALACION DEL SISTEMA DE AGUA POTABLE Y LETRINAS, ANEXO ALTO UNINI, DISTRITO DE RIO TAMBO, PROVINCIA DE SATIPO - JUNIN;MUNICIPALIDAD DISTRITAL DE RIO TAMBO;JUNIN;SATIPO;RIO TAMBO;243;118468;Transferencia;Directa;OBRA;Concluido
N43;PE;11476;PNSU;32404;2036303;INSTALACION SISTEMA DE DESAGÜE PITUMAMA, PROVINCIA DE HUANUCO - HUANUCO.;GOBIERNO REGIONAL HUANUCO;HUANUCO;HUANUCO;PILLCO MARCA;769;235361;Transferencia;Directa;OBRA;Concluido
N44;PE;11476;PNSU;24329;2129421;SISTEMA DE ALCANTARILLADO CC QUEHUAR;MUNICIPALIDAD PROVINCIAL DE CANCHIS;CUSCO;CANCHIS;SICUANI;2534;1352299;Transferencia;Directa;OBRA;Concluido
N45;PE;11476;PNSU;180028;2144771;INSTALACION DEL SERVICIO DE AGUA Y SANEAMIENTO EN LAS LOCALIDADES DE LINDEROS,MIRACASA,SAN PEDRO,PAMPA VERDE Y SAN LORENZO, DISTRITO DE NAMBALLE - SAN IGNACIO - CAJAMARCA;MUNICIPALIDAD DISTRITAL DE NAMBALLE;CAJAMARCA;SAN IGNACIO;NAMBALLE;1660;3752400;Transferencia;Indirecta;OBRA;Concluido
N46;PE;11476;PNSU;93884;2077417;MEJORAMIENTO DEL SISTEMA DE AGUA Y ALCANTARILLADO SECTOR EL PORVENIR - PATIVILCA, DISTRITO DE PATIVILCA - BARRANCA - LIMA;MUNICIPALIDAD DISTRITAL DE PATIVILCA;LIMA;BARRANCA;PATIVILCA;4521;8540472;Transferencia;Indirecta;OBRA (SALDO);Paralizada
N47;PE;11476;PNSU;31148;2030607;MEJORAMIENTO DEL P.J. JULIO PONCE ANTUNEZ DE MAYOLO - IQUITOS, PROVINCIA DE MAYNAS - LORETO;MUNICIPALIDAD PROVINCIAL DE MAYNAS;LORETO;MAYNAS;IQUITOS;1188;1864542;Transferencia;Indirecta;OBRA;Concluido
N48;PE;11476;PNSU;360118;2323222;MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE E INSTALACION DEL SISTEMA DE ALCANTARILLADO DEL CENTRO POBLADO  SAN JOSE DISTRITO DE VIRU, PROVINCIA DE VIRU - LA LIBERTAD;MUNICIPALIDAD PROVINCIAL DE VIRU;LA LIBERTAD;VIRU;VIRU;4629;16287970.77;Transferencia;Indirecta;OBRA;En Ejecución
N49;PE;11476;PNSU;158403;2128447;MEJORAMIENTO Y AMPLIACION DEL PLAN MAESTRO DE SANEAMIENTO AGUA POTABLE, DESAGUE Y TRATAMIENTO DE AGUAS RESIDUALES NANCHOC, DISTRITO DE NANCHOC - SAN MIGUEL - CAJAMARCA;MUNICIPALIDAD DISTRITAL DE NANCHOC;CAJAMARCA;SAN MIGUEL;NANCHOC;1120;13536861.25;Transferencia;Indirecta;OBRA (SALDO);Concluido
N50;PE;11476;PNSU;9310;2059272;AMPLIACION DE REDES DE AGUA POTABLE Y CONEXIONES DOMICILIARIAS DEL P.J. FANNY ABANTO CALLE.;ENTIDAD PRESTADORA DE SERVICIOS DE SANEAMIENTO DE LAMBAYEQUE S.A.;LAMBAYEQUE;CHICLAYO;CHICLAYO;0;924693.23;Transferencia;Directa;OBRA;Concluido
N51;PE;11476;PNSU;48490;2046278;MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LA LOCALIDAD DE MOLINOPAMPA, DISTRITO DE MOLINOPAMPA - CHACHAPOYAS - AMAZONAS;MUNICIPALIDAD DISTRITAL DE MOLINOPAMPA;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS,MOLINOPAMPA;1150;1811193;Transferencia;Directa;OBRA;Concluido
N52;PE;11476;PNSU;180674;2135837;AMPLIACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO EN LA ASOCIACION DE ARTESANOS Y PEQUEÑOS INDUSTRIALES TACNA-AAPITAC,DISTRITO DE CIUDAD NUEVA-TACNA-TACNA;MUNICIPALIDAD DISTRITAL DE CIUDAD NUEVA;TACNA;TACNA;CIUDAD NUEVA;244;1067513.18;Transferencia;Directa;OBRA;Concluido
N53;PE;11476;PNSU;216903;2213000;MEJORAMIENTO DE SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO DE LA LOCALIDAD DE OLMOS, DISTRITO DE OLMOS - LAMBAYEQUE - LAMBAYEQUE;MUNICIPALIDAD DISTRITAL DE OLMOS;LAMBAYEQUE;LAMBAYEQUE;OLMOS;16459;48492635.05;Transferencia;Indirecta;OBRA;Concluido
N54;PE;11476;PNSU;211008;2158008;REHABILITACION DE LA CAPACIDAD DE PRESTACION DEL SERVICIO DE AGUA POTABLE Y ALCANTARILLADO EN LA JUNTA VECINAL SAN MARTIN DE PORRES DISTRITO DE TACNA-TACNA-TACNA;ENTIDAD PRESTADORA DE SERVICIOS DE SANEAMIENTO TACNA S.A.;TACNA;TACNA;TACNA;2990;1896529.58;Transferencia;Directa;OBRA;Concluido
N55;PE;11476;PNSU;30431;2030270;OBRAS DE CAPTACION REHABILITACION MANANTES MAYCHU Y URMANA 1 Y 2 CAPTACION LAGUNA DE PIURAY;SEDACUSCO S.A;CUSCO;URUBAMBA;CHINCHERO;315759;372895.39;Transferencia;Indirecta;OBRA;Concluido
N56;PE;11476;PNSU;9849;2022692;MEJORAMIENTO DEL SISTEMA DE DESAGÜE DE LA LOCALIDAD DE PIMENTEL;MUNICIPALIDAD DISTRITAL DE PIMENTEL;LAMBAYEQUE;CHICLAYO;PIMENTEL;24568;4719219.08;Transferencia;Indirecta;OBRA;Concluido
N57;PE;11476;PNSU;37335;2037563;MEJORAMIENTO SISTEMA INTEGRAL DE AGUA POTABLE Y ALCANTARILLADO ANEXO DE QUIZANGO, DISTRITO DE MARIA - LUYA - AMAZONAS;MUNICIPALIDAD DISTRITAL DE MARIA;AMAZONAS;LUYA;MARIA;594;440894;Transferencia;Directa;OBRA;Concluido
N58;PE;11476;PNSU;234817;2167371;INSTALACION DEL SERVICIO DE AGUA POTABLE Y ALCANTARILLADO EN LOS A.H. DE MIRAMAR, CONSUELO DE VELASCO, MARIA PARADO BELLIDO, AMPLIACION 2 DE AGOSTO, LOS LAURELES DEL DISTRITO DE PAITA PROVINCIA DE PAITA DEPARTAMENTO DE PIURA;ENTIDAD PRESTADORA DE SERVICIOS DE SANEAMIENTO GRAU S.A.;PIURA;PAITA;PAITA;8350;23123597;Transferencia;Indirecta;EXPEDIENTE TECNICO;Concluido
N59;PE;11476;PNSU;363005;2326481;MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE, ALCANTARILLADO SANITARIO DEL SECTOR DE TABLADA ALTA - ILLANYA DEL DISTRITO DE ABANCAY, PROVINCIA DE ABANCAY - APURIMAC;EMPRESA MUNICIPAL DE SERVICIOS DE ABASTECIMIENTO DE AGUA POTABLE Y ALCANTARILLADO ABANCAY S.A.;APURIMAC;ABANCAY;ABANCAY;6507;2112389.2;Transferencia;Directa;OBRA;Concluido
N60;PE;11476;PNSU;86202;2074841;REHABILITACION DE LOS COLECTORES PRINCIPALES, DE LA AV SANTA CATALINA CDRAS 7 A 16, SIMON BOLIVAR CDRAS 9 A 12 ., DISTRITO DE CHONGOYAPE - CHICLAYO - LAMBAYEQUE;MUNICIPALIDAD DISTRITAL DE CHONGOYAPE;LAMBAYEQUE;CHICLAYO;CHONGOYAPE;7000;6550612;Transferencia;Indirecta;OBRA;Concluido
N61;PE;11476;PNSU;290429;2202214;MEJORAMIENTO DEL SERVICIO DE ALCANTARILLADO DEL BARRIO UNION MIRAFLORES DE LA CIUDAD DE PUTINA, DISTRITO DE PUTINA, PROVINCIA DE SAN ANTONIO DE PUTINA - PUNO;MUNICIPALIDAD PROVINCIAL DE SAN ANTONIO DE PUTINA;PUNO;SAN ANTONIO DE PUTINA;PUTINA;1941;804385.39;Transferencia;Directa;OBRA;Concluido
N62;PE;11476;PNSU;23136;2023397;AMPLIACION Y MEJORAMIENTO DEL SISTEMA DE ALCANTARILLADO Y PLANTA DE TRATAMIENTO DE AGUAS SERVIDAS URIPA;MUNICIPALIDAD DISTRITAL DE ANCO-HUALLO;APURIMAC;CHINCHEROS;ANCO-HUALLO;3484;1996330;Transferencia;Indirecta;OBRA;Concluido
N63;PE;11476;PNSU;157064;2135911;AMPLIACION MEJORAMIENTO DEL SANEAMIENTO BÁSICO INTEGRAL DE LA LOCALIDAD DE HUAROCONDO, PROVINCIA DE ANTA - CUSCO;MUNICIPALIDAD DISTRITAL DE HUAROCONDO;CUSCO;ANTA;HUAROCONDO;2237;3045075;Transferencia;Indirecta;EXPEDIENTE TECNICO;Concluido
N64;PE;11476;PNSU;198289;2209398;INSTALACION DEL SISTEMA DE ALCANTARILLADO DE LOS C.P BUENOS AIRES, LA NUEVA ESPERANZA, RESIDENCIAL LUREN, MANCO CAPAC, LOS ROMANES, LA MAQUINA, DISTRITO DE LA TINGUINA - ICA - ICA;MUNICIPALIDAD DISTRITAL DE TINGUIÑA;ICA;ICA;LA TINGUIÑA;5663;7293348.08;Transferencia;Indirecta;OBRA;Concluido
N65;PE;11476;PNSU;56085;2060513;MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LAS LOCALIDADES DE IZCUCHACA Y CHILLCABRABA, DISTRITO DE MOLINOPAMPA - CHACHAPOYAS - AMAZONAS;MUNICIPALIDAD DISTRITAL DE MOLINOPAMPA;AMAZONAS;CHACHAPOYAS;MOLINOPAMPA;407;887121;Transferencia;Directa;OBRA;Concluido
N66;PE;11476;PNSU;38340;2062127;INSTALACION DE LA RED DE AGUA POTABLE, ALCANTARILLADO Y CONEXIONES DOMICILIARIAS DEL AA.HH. NUEVO CERROPON - CHICLAYO;ENTIDAD PRESTADORA DE SERVICIOS DE SANEAMIENTO DE LAMBAYEQUE S.A.;LAMBAYEQUE;CHICLAYO;CHICLAYO;4313;922196.09;Transferencia;Indirecta;OBRA;Concluido
N67;PE;11476;PNSU;189373;2147839;INSTALACION DEL SISTEMA DE ALCANTARILLADO Y CONEXIONES DOMICILIARIAS EN EL SECTOR MIRAFLORES, DISTRITO DE REQUE - CHICLAYO - LAMBAYEQUE;MUNICIPALIDAD DISTRITAL DE REQUE;LAMBAYEQUE;CHICLAYO;REQUE;440;666827.18;Transferencia;Indirecta;OBRA;Concluido
N68;PE;11476;PNSU;48629;2047490;AMPLIACION, MEJORAMIENTO, CONSTRUCCION DE LOS SISTEMA DE AGUA POTABLE Y ALCANTARILLADO C.P. NUESTRA SEÑORA DE GUADALUPE, DISTRITO DE SALAS - ICA - ICA;MUNICIPALIDAD DISTRITAL DE SALAS;ICA;ICA;SALAS;4008;4973565.13;Transferencia;Indirecta;OBRA;Concluido
