N;CODIGO_PAIS;CODIGO_ENTIDAD;PROGRAMA;CODIGO_SNIP;CODIGO_UNIFICADO;NOMBRE;UNIDAD_EJECUTORA;DEPARTAMENTO;PROVINCIA;DISTRITO;POBLACION_BENEFICIADA_SSP;MONTO_ACTUALIZADO_PIP;MODALIDAD_FINANCIAMIENTO;TIPO_EJECUCION;ETAPA_INVERSION;ESTADO
N1607;PE;11476;PNSU;53481;2057472;INSTALACION DEL SISTEMA DE ALCANTARILLADO DEL SECTOR ALTO SALAVERRY, DISTRITO DE MOCHE - TRUJILLO - LA LIBERTAD;MUNICIPALIDAD DISTRITAL DE MOCHE;LA LIBERTAD;TRUJILLO;MOCHE;9835;8981427.33;Transferencia;Indirecta;OBRA;Concluido
N1608;PE;11476;PNSU;265168;2181444;MEJORAMIENTO DE LA RED DE AGUA POTABLE Y ALCANTARILLADO DE LA URBANIZACION MARISCAL CASTILLA, DISTRITO DE CASA GRANDE - ASCOPE - LA LIBERTAD;MUNICIPALIDAD DISTRITAL DE CASA GRANDE;LA LIBERTAD;ASCOPE;CASA GRANDE;1374;120000;Transferencia;Indirecta;OBRA;Concluido
N1609;PE;11476;PNSU;215601;2163809;MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y CREACION DEL SISTEMA DE ALCANTARILLADO DE LA ZONA PERIFERICA DEL AREA URBANA DE CASCAS, PROVINCIA DE GRAN CHIMU - LA LIBERTAD;MUNICIPALIDAD PROVINCIAL GRAN CHIMU - CASCAS;LA LIBERTAD;GRAN CHIMU;CASCAS;12300;15878506.43;Transferencia;Indirecta;OBRA;Paralizada
N1610;PE;11476;PNSU;232492;2236164;AMPLIACION Y MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO  DE CORIRE, DISTRITO DE URACA - CASTILLA - AREQUIPA;MUNICIPALIDAD DISTRITAL DE URACA;AREQUIPA;CASTILLA;URACA;4651;15951357.63;Transferencia;Indirecta;OBRA;En Ejecución
N1611;PE;11476;PNSU;62328;2056440;MEJORAMIENTO Y AMPLIACIÓN DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LA CIUDAD DE QUÉRECOTILLO - SULLANA - PIURA;MUNICIPALIDAD PROVINCIAL DE SULLANA;PIURA;SULLANA;QUERECOTILLO;13477;39525815.01;Transferencia;Indirecta;OBRA;Paralizada
N1612;PE;11476;PNSU;34844;2037615;MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE E INSTALACION DEL SISTEMA DE ALCANTARILLADO EN LA LOCALIDAD DE MIRAFLORES, DISTRITO DE SANTA ROSA - LA MAR - AYACUCHO;MUNICIPALIDAD DISTRITAL DE SANTA ROSA;AYACUCHO;LA MAR;SANTA ROSA;1100;796131;Transferencia;Directa;OBRA;Concluido
N1613;PE;11476;PNSU;12327;2056551;AMPLIACION Y MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LA LOCALIDAD DE SICAYA-HUANCAYO-JUNIN;MUNICIPALIDAD DISTRITAL DE SICAYA;JUNIN;HUANCAYO;SICAYA;8547;7135966;Transferencia;Indirecta;OBRA;Concluido
N1614;PE;11476;PNSU;43955;2054348;MEJORAMIENTO Y REHABILITACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LA URB. MIGUEL GRAU - I, II Y III ETAPA EN LA LOCALIDAD DE CASA GRANDE, DISTRITO DE CASA GRANDE - ASCOPE - LA LIBERTAD;MUNICIPALIDAD DISTRITAL DE CASA GRANDE;LA LIBERTAD;ASCOPE;CASA GRANDE;3692;9208999.57;Transferencia;Indirecta;OBRA;Concluido
N1615;PE;11476;PNSU;31422;2042975;CONSTRUCCION DE LA REDES DE ALCANTARILLADO CON COXIONES DOMICILIARIAS DE LA UPIS HUSARES DE JUNIN;EMPRESA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE CHINCHA S.A.;ICA;CHINCHA;PUEBLO NUEVO;2169;503024;Transferencia;Indirecta;OBRA;Concluido
N1616;PE;11476;PNSU;67690;2068032;MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE E INSTALACION DEL SISTEMA DE ALCANTARILLADO DEL CENTRO POBLADO MADRE MIA, DISTRITO DE NUEVO PROGRESO - TOCACHE - SAN MARTIN;MUNICIPALIDAD DISTRITAL DE NUEVO PROGRESO;SAN MARTIN;TOCACHE;NUEVO PROGRESO;950;2611305.65;Transferencia;Indirecta;OBRA;Concluido
N1617;PE;11476;PNSU;82222;2082651;INSTALACION DE REDES DE AGUA POTABLE Y ALCANTARILLADO EN LA ASOC. DE PEQUEÑOS y MEDIANOS INDUSTRIALES FRANCISCO ANTONIO DE ZELA Y ASOC.VIV. TACNA HEROICA,  DISTRITO DE CIUDAD NUEVA - TACNA - TACNA;MUNICIPALIDAD DISTRITAL DE CIUDAD NUEVA;TACNA;TACNA;CIUDAD NUEVA;640;992473.28;Transferencia;Directa;OBRA;Concluido
N1618;PE;11476;PNSU;39475;2054513;MEJORAMIENTO, REHABILITACION Y AMPLIACION DEL SISTEMA DE AGUA POTABLE EN LA LOCALIDAD DE HUACAR, DISTRITO DE HUACAR, PROVINCIA DE AMBO - HUANUCO;MUNICIPALIDAD DISTRITAL DE HUACAR;HUANUCO;AMBO;HUACAR;2279;1882750;Transferencia;Indirecta;OBRA;Concluido
N1619;PE;11476;PNSU;52059;2062750;AMPLIACION Y MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DEL AREA URBANA DEL DISTRITO DE VIRU;MUNICIPALIDAD PROVINCIAL DE VIRU;LA LIBERTAD;VIRU;VIRU;3822;5283141;Transferencia;Directa;OBRA;Concluido
N1620;PE;11476;PNSU;17157;2090494;MEJORAMIENTO Y AMPLIACION DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO E INSTALACION DEL SISTEMA DE TRATAMIENTO DE AGUAS SERVIDAS EN LA CIUDAD DE IBERIA- MADRE DE DIOS;MUNICIPALIDAD DISTRITAL DE IBERIA;MADRE DE DIOS;TAHUAMANU;IBERIA;4409;8315197.81;Transferencia;Indirecta;OBRA;Concluido
N1621;PE;11476;PNSU;52344;2050349;CONSTRUCCION DEL SISTEMA DE ALCANTARILLADO EN PACAYHUA, DISTRITO MARGOS, PROVINCIA DE HUANUCO - HUANUCO;MUNICIPALIDAD DISTRITAL DE MARGOS;HUANUCO;HUANUCO;MARGOS;1088;2238606;Transferencia;Indirecta;EXPEDIENTE TECNICO;Concluido
N1622;PE;11476;PNSU;71516;2069390;CONSTRUCCION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO SANTA CRUZ DE LA SUCCHA, DISTRITO DE SAN JUAN DE CUTERVO - CUTERVO - CAJAMARCA;MUNICIPALIDAD DISTRITAL DE SAN JUAN DE CUTERVO;CAJAMARCA;CUTERVO;SAN JUAN DE CUTERVO;530;1860704;Transferencia;Indirecta;OBRA;Concluido
N1623;PE;11476;PNSU;319751;2271464;MEJORAMIENTO, AMPLIACION DEL SERVICIO DE AGUA POTABLE, ALCANTARILLADO Y TRATAMIENTO DE AGUAS RESIDUALES DE LA LOCALIDAD DE CURGOS, DISTRITO DE CURGOS - SANCHEZ CARRION - LA LIBERTAD;MUNICIPALIDAD DISTRITAL DE CURGOS;LA LIBERTAD;SANCHEZ CARRION;CURGOS;3029;8713768.26;Transferencia;Indirecta;OBRA;Concluido
N1624;PE;11476;PNSU;8590;2059969;MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y CONSTRUCCIÓN DE LA RED DE ALCANTARILLADO DE 11 ASOCIACIONES DE VIVIENDA CONO NORTE TACNA;EPS TACNA S.A.;TACNA;TACNA;CIUDAD NUEVA;5397;9220858;Transferencia;Directa;OBRA;Convenio y/o Contrato Resuelto
